"DateUncertainty"	"Date"	"Year"	"Time"	"AP"	"ID"	"L1"	"L2"	"L3"	"L4"	"R1"	"R2"	"R3"	"Nest"	"Focal"	"Bled"	"Recap"	"NewFemale"	"Plasma"	"DateBled"	"Sex"	"Tissue"	"CCL"	"CCW"	"SCL"	"SCW"	"PL"	"PW"	"NumLeech"	"ClutchSize"	"TopEgg"	"NestDepth"	"LogNumTop"	"LogNumMid"	"LogNumBott"	"LoggerNum"	"LaunchDate"	"FisheyePhoto"	"DateDead"	"Predated"	"NumEggsHatched"	"NumEggsDead"	"egg1"	"egg2"	"egg3"	"egg4"	"egg5"	"egg6"	"egg7"	"egg8"	"egg9"	"egg10"	"egg11"	"egg12"	"egg13"	"egg14"	"egg15"	"egg16"	"egg17"	"egg18"	"egg19"	"egg20"	"egg21"	"egg22"	"MeanEggMass"	"Toeclip"	"Cort"	"Clutch"	"NumPectoralRidges"	"Comments"	"NestNotes"	"Veg.N"	"Veg.S"	"Veg.E"	"Veg.W"	"Film"	"Primi"	"JanzenNum"	"SoilType"	"Aspect"	"Slope"	"L.Foreclaw"	"Location"	"Aquatic"	"Deceased"	"newID"	"TrueID"	"UnknownID"	"Flag"	"YearDayLaid"	"Flagbin"	"Dummy"	"SexComments"	"Age"	"Cohort"	"Xcoord"	"Ycoord"	"DTW"	"Match"
NA	6/4/17	2017	610	PM	NA	9	11	NA	NA	3	9	NA	67	NA	Y	Y	N	Y	NA	Female	NA	183	162	171.58	122.95	161.84	99.42	NA	NA	6.5	8.7	NA	NA	NA	NA	NA	117	"6/5/17"	TRUE	NA	NA	7.52	7.39	7.75	7.28	7.58	7.34	7.66	7.41	7.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Re-filed; chip on L2 & L10 marginal"		NA	NA	NA	NA	NA	FALSE	NA	LoamSand	100	4	NA	"South Potters"	NA	NA	109110000030900	109110000030900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	622	PM	NA	12	NA	NA	NA	9	12	NA	68	NA	Y	Y	N	Y	NA	Female	NA	179	159	166.08	123.08	156.24	100.46	NA	NA	4.4	9	NA	NA	NA	NA	NA	56	"6/7/17"	TRUE	NA	NA	7.29	7.39	7.77	7.96	6.93	7.43	7.35	6.94	7.36	7.94	7.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA			NA	NA	NA	NA	NA	FALSE	NA	Loam	NA	0	NA	"South Potters"	NA	NA	112000000091200	112000000091200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	627	PM	NA	9	10	NA	NA	1	2	3	69	NA	Y	Y	N	Y	NA	Female	NA	173	152	158.07	119.07	150.57	98.75	NA	NA	5.4	8.6	NA	NA	NA	NA	NA	91	"6/6/17"	TRUE	NA	NA	6.3	6.62	6.68	6.59	6.14	6.51	6.21	6.34	6.32	6.65	6.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA		"Abdominal plastron scutes worn/rubbed off"	NA	NA	NA	NA	NA	FALSE	NA	Loam	125	2	NA	"South Potters"	NA	NA	109100000010203	109100000010203	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	637	PM	NA	1	8	12	NA	8	NA	NA	70	NA	Y	Y	N	Y	NA	Female	NA	165	149	152.93	115.89	147.94	97.5	NA	NA	5.8	9.5	NA	NA	NA	NA	NA	45	"6/7/17"	TRUE	NA	NA	7.32	6.83	7.18	6.96	7.05	7.18	6.76	6.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	Re-filed		NA	NA	NA	NA	NA	FALSE	NA	Loam	95	5	NA	"South Potters"	NA	NA	101081200080000	101081200080000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	646	PM	NA	9	11	NA	NA	2	10	NA	71	NA	Y	Y	N	Y	NA	Female	NA	175	150	163.72	119.58	151.91	100.17	NA	NA	4.3	9	NA	NA	NA	NA	NA	94	"6/7/17"	TRUE	NA	NA	7.69	6.91	7.41	6.99	7.67	7.62	7.1	7.49	7.31	7.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	Re-filed		NA	NA	NA	NA	NA	FALSE	NA	Loam	283	1	NA	"South Potters"	NA	NA	109110000021000	109110000021000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	646	PM	NA	1	3	12	NA	2	12	NA	72	NA	Y	Y	N	Y	NA	Female	NA	177	159	164.76	118.82	157.11	98.6	NA	NA	7.8	9.7	NA	NA	NA	NA	NA	115	"6/6/17"	TRUE	NA	NA	NA	8.26	9.06	10.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Re-filed, stumpy tail, jagged edge to R9-11 marg."	"Nestcavation missed, done next morning"	NA	NA	NA	NA	NA	FALSE	NA	Loam	30	4	NA	"South Potters"	NA	NA	101031200021200	101031200021200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	707	PM	NA	2	3	9	NA	3	NA	NA	75	NA	Y	Y	N	Y	NA	Female	NA	159	143	149.24	113.48	142.45	93	NA	NA	4.4	7.7	NA	NA	NA	NA	NA	111	"6/7/17"	TRUE	NA	NA	6.27	6.4	6.29	6.59	6.64	6.57	6.45	6.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA			NA	NA	NA	NA	NA	FALSE	NA	Gravel	117	9	NA	"South Potters"	NA	NA	102030900030000	102030900030000	0	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0
NA	6/4/17	2017	711	PM	NA	12	NA	NA	NA	8	11	NA	76	NA	Y	Y	N	Y	NA	Female	NA	174	159	161.44	120.47	155.3	101.65	NA	NA	5.4	9.4	NA	NA	NA	NA	NA	52	"6/7/17"	TRUE	NA	NA	NA	7.19	7.31	NA	7.2	7.64	NA	7	7.11	7.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"6 verts, chip to L4 marginal, chips on R2&3 marginal, short tail"		NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	116	6	NA	"South Potters"	NA	NA	112000000081100	112000000081100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	712	PM	NA	2	3	8	NA	3	NA	NA	77	NA	Y	Y	N	Y	NA	Female	NA	161	137	149.01	109.46	141.29	91.64	NA	NA	7.1	8.9	NA	NA	NA	NA	NA	38	"6/7/17"	TRUE	NA	NA	5.57	5.53	5.66	5.67	5.55	5.85	5.78	5.6	5.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	6			NA	NA	NA	NA	NA	FALSE	NA	Loam	304	1	NA	"South Potters"	NA	NA	102030800030000	102030800030000	0	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	0
NA	6/4/17	2017	713	PM	NA	11	NA	NA	NA	11	12	NA	78	NA	Y	Y	N	Y	NA	Female	NA	178	153	168.52	117.81	160.03	96.2	NA	NA	4.5	10	NA	NA	NA	NA	NA	42	"6/7/17"	TRUE	NA	NA	7.11	7.02	7.18	6.92	6.63	7.05	7	6.82	7.15	6.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Damage L1&2 marg., re-filed"		NA	NA	NA	NA	NA	FALSE	NA	Loam	NA	0	NA	"South Potters"	NA	NA	111000000111200	111000000111200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	715	PM	NA	8	12	NA	NA	2	3	NA	79	NA	Y	Y	N	Y	NA	Female	NA	175	153	160.27	119.41	153.17	100.07	NA	NA	4.4	9.3	NA	NA	NA	NA	NA	114	"6/6/17"	TRUE	NA	NA	7.3	7.43	7.46	7.1	7.29	7.34	7.23	7.32	7.58	7.46	7.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Trick ID. Refiled with closest matching possible record. Dent in R12 could be mistaken for mark."		NA	NA	NA	NA	NA	FALSE	NA	Loam	99	5	NA	"South Potters"	NA	NA	108120000020300	108120000020300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	814	PM	NA	8	NA	NA	NA	10	12	NA	80	NA	Y	Y	N	Y	NA	Female	NA	180	155	179.42	130.41	161.4	103.28	NA	NA	5	9.5	NA	NA	NA	NA	NA	80	"6/7/17"	TRUE	NA	NA	NA	7.91	7.41	7.81	6.99	7.31	7.46	7.11	7.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"6 verts, re-filed"		NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	259	3	NA	"South Potters"	NA	NA	108000000101200	108000000101200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	830	PM	NA	1	9	NA	NA	2	8	NA	81	NA	Y	Y	N	Y	NA	Female	NA	171	153	174.2	131.7	169.44	111.11	NA	NA	5.9	9	NA	NA	NA	NA	NA	62	"6/5/17"	TRUE	NA	NA	8.05	8.26	8.08	7.88	7.62	7.73	7.02	7.82	8.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	NA	NA	NA	Re-filed	"Didn't cover nest; attempted to cover it"	NA	NA	NA	NA	NA	FALSE	NA	Gravel	NA	0	NA	"South Potters"	NA	NA	101090000020800	101090000020800	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	852	PM	NA	8	12	NA	NA	3	9	NA	82	NA	Y	Y	N	Y	NA	Female	NA	182	161	170.6	114.3	160	94.9	NA	NA	5.3	8.1	NA	NA	NA	NA	NA	87	"6/7/17"	TRUE	NA	NA	7.38	7.15	7.26	7.2	7.4	7.21	7.61	7.5	7.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Gular scutes curved at top; chips between L2&3 marginals"		NA	NA	NA	NA	NA	FALSE	NA	Gravel	242	5	NA	"South Potters"	NA	NA	108120000030900	108120000030900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
